month,from,out,value,lng1,lat1,lng2,lat2
202003,昭通市,西双版纳州,4.0,103.7,27.12,100.79,22.0
202003,昭通市,保山市,5.0,103.7,27.12,99.18,25.12
202003,昭通市,怒江州,3.0,103.7,27.12,98.82,25.97
202003,昭通市,曲靖市,6.0,103.7,27.12,103.79,25.51
202003,昭通市,临沧市,7.0,103.7,27.12,100.09,23.88
202003,昭通市,昆明市,60.0,103.7,27.12,102.73,25.04
202003,昭通市,红河州,3.0,103.7,27.12,103.43,23.41
202003,昭通市,楚雄州,2.0,103.7,27.12,101.54,25.01
202003,昭通市,玉溪市,7.0,103.7,27.12,102.52,24.35
202003,昭通市,迪庆州,2.0,103.7,27.12,99.72,27.78
202003,昭通市,德宏州,2.0,103.7,27.12,98.6,24.41
202003,昭通市,普洱市,5.0,103.7,27.12,101.0,22.79
202003,昭通市,丽江市,14.0,103.7,27.12,100.25,26.86
202003,昭通市,大理州,7.0,103.7,27.12,100.19,25.69
202003,昭通市,文山州,1.0,103.7,27.12,104.24,23.37
202003,西双版纳州,昭通市,1.0,100.79,22.0,103.7,27.12
202003,西双版纳州,保山市,2.0,100.79,22.0,99.18,25.12
202003,西双版纳州,曲靖市,2.0,100.79,22.0,103.79,25.51
202003,西双版纳州,临沧市,5.0,100.79,22.0,100.09,23.88
202003,西双版纳州,昆明市,22.0,100.79,22.0,102.73,25.04
202003,西双版纳州,楚雄州,1.0,100.79,22.0,101.54,25.01
202003,西双版纳州,玉溪市,1.0,100.79,22.0,102.52,24.35
202003,西双版纳州,德宏州,1.0,100.79,22.0,98.6,24.41
202003,西双版纳州,普洱市,69.0,100.79,22.0,101.0,22.79
202003,西双版纳州,丽江市,2.0,100.79,22.0,100.25,26.86
202003,西双版纳州,大理州,3.0,100.79,22.0,100.19,25.69
202003,西双版纳州,文山州,1.0,100.79,22.0,104.24,23.37
202003,保山市,西双版纳州,4.0,99.18,25.12,100.79,22.0
202003,保山市,怒江州,39.0,99.18,25.12,98.82,25.97
202003,保山市,曲靖市,1.0,99.18,25.12,103.79,25.51
202003,保山市,临沧市,31.0,99.18,25.12,100.09,23.88
202003,保山市,昆明市,23.0,99.18,25.12,102.73,25.04
202003,保山市,红河州,2.0,99.18,25.12,103.43,23.41
202003,保山市,楚雄州,5.0,99.18,25.12,101.54,25.01
202003,保山市,玉溪市,1.0,99.18,25.12,102.52,24.35
202003,保山市,迪庆州,6.0,99.18,25.12,99.72,27.78
202003,保山市,德宏州,152.0,99.18,25.12,98.6,24.41
202003,保山市,普洱市,8.0,99.18,25.12,101.0,22.79
202003,保山市,丽江市,4.0,99.18,25.12,100.25,26.86
202003,保山市,大理州,26.0,99.18,25.12,100.19,25.69
202003,保山市,文山州,1.0,99.18,25.12,104.24,23.37
202003,怒江州,昭通市,3.0,98.82,25.97,103.7,27.12
202003,怒江州,西双版纳州,1.0,98.82,25.97,100.79,22.0
202003,怒江州,保山市,22.0,98.82,25.97,99.18,25.12
202003,怒江州,曲靖市,2.0,98.82,25.97,103.79,25.51
202003,怒江州,临沧市,1.0,98.82,25.97,100.09,23.88
202003,怒江州,昆明市,17.0,98.82,25.97,102.73,25.04
202003,怒江州,红河州,1.0,98.82,25.97,103.43,23.41
202003,怒江州,楚雄州,2.0,98.82,25.97,101.54,25.01
202003,怒江州,玉溪市,2.0,98.82,25.97,102.52,24.35
202003,怒江州,迪庆州,39.0,98.82,25.97,99.72,27.78
202003,怒江州,德宏州,1.0,98.82,25.97,98.6,24.41
202003,怒江州,普洱市,3.0,98.82,25.97,101.0,22.79
202003,怒江州,丽江市,18.0,98.82,25.97,100.25,26.86
202003,怒江州,大理州,42.0,98.82,25.97,100.19,25.69
202003,怒江州,文山州,1.0,98.82,25.97,104.24,23.37
202003,曲靖市,昭通市,8.0,103.79,25.51,103.7,27.12
202003,曲靖市,西双版纳州,19.0,103.79,25.51,100.79,22.0
202003,曲靖市,保山市,3.0,103.79,25.51,99.18,25.12
202003,曲靖市,怒江州,9.0,103.79,25.51,98.82,25.97
202003,曲靖市,临沧市,9.0,103.79,25.51,100.09,23.88
202003,曲靖市,昆明市,53.0,103.79,25.51,102.73,25.04
202003,曲靖市,红河州,3.0,103.79,25.51,103.43,23.41
202003,曲靖市,楚雄州,6.0,103.79,25.51,101.54,25.01
202003,曲靖市,玉溪市,6.0,103.79,25.51,102.52,24.35
202003,曲靖市,迪庆州,9.0,103.79,25.51,99.72,27.78
202003,曲靖市,德宏州,6.0,103.79,25.51,98.6,24.41
202003,曲靖市,普洱市,14.0,103.79,25.51,101.0,22.79
202003,曲靖市,丽江市,15.0,103.79,25.51,100.25,26.86
202003,曲靖市,大理州,11.0,103.79,25.51,100.19,25.69
202003,曲靖市,文山州,15.0,103.79,25.51,104.24,23.37
202003,临沧市,昭通市,3.0,100.09,23.88,103.7,27.12
